,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5
3171,9.468,50.62,188,400,13142,19970,939.648,0.76,0.79,5.24,0.817,0.018
42523,26.64,49.09,1103,400,12904,19451,938.743,1.43,1.49,9.86,1.537,0.035
29138,21.39,53.29,113,400,13234,20102,939.658,1.68,1.74,11.54,1.8,0.041
7556,-4.158,50.85,265,400,13124,19994,939.468,0.39,0.41,2.7,0.421,0.01
14872,13.639,53.13,1170,465,12863,19440,938.83,2.14,2.22,14.7,2.292,0.052
10840,4.547,48.28,986,649,12791,19483,939.078,2.35,2.44,16.17,2.522,0.057
7149,-4.899,51.06,237,400,13141,20030,939.525,0.57,0.59,3.9,0.608,0.014
6656,-6.483,55.96,210,400,13140,20045,939.602,0.61,0.64,4.23,0.659,0.015
60467,12.067,38.45,0,400,13296,21292,937.459,1.92,2.0,13.22,2.061,0.047
11901,15.883,47.37,1074,598,12813,19457,939.024,2.04,2.12,14.07,2.194,0.05
18045,18.453,52.9,1155,415,12904,19446,938.686,1.89,1.96,13.0,2.028,0.046
1039,27.123,52.48,0,400,13054,19956,939.753,0.29,0.31,2.02,0.315,0.007
46731,26.81,48.18,1373,400,12957,19386,938.714,2.19,2.28,15.1,2.355,0.053
46807,25.26,49.16,1404,424,12944,19371,938.725,1.79,1.86,12.32,1.921,0.043
36565,24.27,53.24,1078,606,12811,19473,939.064,2.3,2.39,15.81,2.465,0.056
1194,26.98,52.17,14,400,13070,19953,939.77,0.55,0.57,3.8,0.592,0.013
15000,13.193,53.61,1113,452,12864,19448,938.832,1.82,1.89,12.53,1.954,0.044
27040,17.11,52.59,49,400,13126,20007,939.617,0.84,0.87,5.79,0.904,0.02
20237,14.126,48.07,1220,401,12938,19427,938.721,1.8,1.87,12.41,1.936,0.044
2980,11.846,48.53,182,400,13144,19994,939.641,0.87,0.91,6.01,0.937,0.021
35598,26.08,48.75,919,668,12792,19503,939.065,2.12,2.2,14.58,2.274,0.051
35632,25.05,54.57,868,653,12803,19511,939.082,2.24,2.33,15.41,2.402,0.054
27227,17.31,54.01,0,400,13207,20128,939.602,0.84,0.87,5.79,0.902,0.02
12544,20.142,50.79,1078,553,12832,19456,938.962,1.96,2.04,13.49,2.104,0.048
39013,24.92,51.54,1111,511,12855,19457,938.904,1.95,2.03,13.44,2.096,0.047
61522,14.834,14.21,2335,400,13195,20040,936.846,1.12,1.16,7.69,1.199,0.027
19341,20.391,47.78,1101,400,12925,19450,938.676,1.64,1.71,11.31,1.764,0.04
37135,26.9,47.28,1055,581,12819,19460,939.014,1.7,1.77,11.72,1.827,0.041
22373,-17.638,53.85,1356,406,12968,19390,938.745,2.13,2.21,14.67,2.288,0.052
51783,29.27,40.52,49,410,12819,20713,937.489,2.12,2.2,14.6,2.277,0.051
30265,19.75,54.59,13,400,13256,20215,939.69,2.6,2.71,17.92,2.795,0.063
3075,10.666,46.77,142,400,13170,20027,939.682,0.96,1.0,6.63,1.034,0.023
24589,1.987,53.74,1337,408,12991,19393,938.807,1.84,1.91,12.65,1.973,0.045
14581,14.872,53.51,1059,440,12871,19457,938.89,1.8,1.87,12.42,1.937,0.044
53111,28.87,41.33,117,400,12792,20604,937.349,2.01,2.08,13.81,2.154,0.049
43112,24.47,53.68,1222,421,12904,19423,938.718,1.79,1.86,12.34,1.924,0.043
33199,18.26,56.95,329,400,13102,19939,939.386,0.27,0.28,1.83,0.286,0.006
58341,-7.613,47.38,80,400,12788,20641,937.433,1.62,1.69,11.17,1.742,0.039
5140,-8.8,52.58,45,400,13233,20165,939.691,2.16,2.24,14.86,2.317,0.052
22853,-21.378,53.87,1408,416,12964,19376,938.717,1.77,1.84,12.21,1.905,0.043
16300,12.451,52.03,1157,421,12876,19435,938.771,1.77,1.84,12.16,1.896,0.043
55889,43.02,19.28,106,400,13530,21055,936.81,0.85,0.89,5.87,0.916,0.021
30411,22.07,49.01,2,400,13266,20239,939.733,2.41,2.51,16.62,2.591,0.059
33013,18.63,55.0,310,400,13107,19956,939.383,0.29,0.3,1.99,0.31,0.007
43489,26.87,48.17,1205,400,12912,19428,938.738,1.71,1.77,11.74,1.83,0.041
24692,5.884,48.53,1377,433,12973,19373,938.812,1.94,2.02,13.35,2.082,0.047
58800,-4.547,42.2,148,440,12766,20570,937.349,1.74,1.81,11.96,1.865,0.042
30744,19.6,55.1,42,400,13246,20214,939.72,1.91,1.98,13.13,2.047,0.046
14354,15.966,47.8,1141,467,12854,19446,938.916,2.31,2.4,15.89,2.478,0.056
5627,-9.228,54.88,55,400,13242,20203,939.76,2.27,2.36,15.61,2.434,0.055
23588,-19.956,49.78,1367,404,12977,19381,938.701,1.71,1.78,11.77,1.835,0.041
51948,28.38,44.08,43,400,12793,20703,937.555,2.1,2.18,14.46,2.254,0.051
49967,26.63,48.94,1299,404,12993,19403,938.863,1.71,1.78,11.76,1.834,0.041
46860,26.98,47.68,1318,401,12963,19397,938.738,2.13,2.21,14.65,2.284,0.052
49143,26.98,46.72,1124,400,13034,19447,938.75,2.33,2.42,16.04,2.502,0.057
30813,19.44,56.03,36,400,13250,20227,939.669,2.44,2.54,16.81,2.621,0.059
49165,24.4,52.9,1145,400,13024,19444,938.777,2.05,2.13,14.09,2.196,0.05
47707,25.27,49.21,1398,423,12954,19374,938.751,2.58,2.68,17.74,2.767,0.062
32901,18.58,55.08,305,400,13111,19962,939.426,0.24,0.25,1.67,0.261,0.006
21073,1.814,48.37,1350,417,12955,19386,938.682,1.97,2.04,13.53,2.11,0.048
1842,23.835,48.36,60,400,13120,20001,939.593,0.66,0.68,4.54,0.707,0.016
34985,24.61,51.97,785,717,12772,19536,939.129,2.57,2.67,17.69,2.759,0.062
46817,24.65,52.96,1331,400,12962,19392,938.709,1.45,1.51,9.99,1.558,0.035
59309,1.49,48.8,151,411,12783,20568,937.337,1.9,1.97,13.07,2.037,0.046
25633,14.48,51.33,6,400,12871,19844,939.835,0.23,0.24,1.61,0.251,0.006
11623,13.168,52.42,1097,628,12806,19459,939.07,1.68,1.75,11.57,1.804,0.041
41940,27.08,47.39,1115,400,12896,19450,938.77,1.5,1.56,10.33,1.611,0.036
10289,-0.824,51.16,885,685,12785,19509,939.07,2.11,2.19,14.5,2.261,0.051
36106,23.96,54.02,1050,645,12799,19475,939.096,2.33,2.42,16.02,2.498,0.056
32392,19.47,50.05,280,400,13113,19982,939.496,0.47,0.49,3.27,0.509,0.012
28422,21.73,58.34,274,400,13150,19948,939.686,1.85,1.93,12.76,1.99,0.045
40257,27.06,47.26,1113,431,12873,19451,938.845,1.67,1.74,11.53,1.797,0.041
57417,19.585,39.9,104,408,12821,20667,937.487,2.11,2.19,14.53,2.266,0.051
22872,-21.461,48.8,1323,400,12974,19393,938.721,1.98,2.06,13.66,2.13,0.048
37421,26.48,49.27,992,546,12835,19475,938.974,2.12,2.2,14.58,2.274,0.051
24145,-11.099,46.92,1117,400,13037,19443,938.743,2.54,2.63,17.46,2.722,0.061
27449,18.13,51.84,10,400,13208,20148,939.636,1.23,1.28,8.49,1.324,0.03
6875,-5.727,53.05,236,400,13128,20037,939.617,0.5,0.52,3.44,0.536,0.012
3780,2.019,52.53,172,400,13205,20040,939.66,1.81,1.88,12.44,1.94,0.044
10012,-2.821,53.72,864,726,12763,19512,939.13,2.27,2.36,15.64,2.438,0.055
25376,11.49,55.27,16,400,12705,19735,939.806,0.05,0.07,0.31,0.071,0.015
5874,-8.881,55.85,43,400,13241,20230,939.636,2.22,2.3,15.27,2.381,0.054
35073,22.84,55.85,898,733,12763,19502,939.141,2.27,2.36,15.61,2.434,0.055
23262,-21.842,52.9,1367,400,12968,19384,938.698,1.86,1.93,12.81,1.998,0.045
24103,-12.044,52.05,1220,400,13024,19423,938.751,2.77,2.88,19.09,2.977,0.067
60371,12.723,45.89,0,400,12985,20826,937.436,2.15,2.23,14.78,2.305,0.052
7964,-4.161,54.7,311,400,13099,19949,939.417,0.36,0.37,2.45,0.382,0.009
34267,21.33,60.25,586,572,12855,19682,939.235,2.57,2.67,17.68,2.758,0.062
42167,26.83,48.31,1153,400,12894,19435,938.778,1.45,1.5,9.95,1.551,0.035
2247,20.237,50.23,0,400,13223,20169,939.614,0.97,1.01,6.68,1.041,0.024
14488,15.311,46.94,1184,483,12859,19440,938.929,2.08,2.16,14.32,2.232,0.05
8879,-5.166,55.63,354,400,13075,19916,939.268,0.45,0.47,3.1,0.483,0.011
39438,24.75,52.45,1153,486,12855,19445,938.917,1.88,1.95,12.92,2.015,0.046
26236,16.14,55.26,0,400,13085,19973,939.729,0.52,0.54,3.59,0.56,0.013
51029,32.97,17.56,14,1678,12707,20679,930.927,0.63,0.66,4.37,0.681,0.015
4155,-2.086,48.46,127,400,13217,20079,939.649,1.76,1.83,12.15,1.894,0.043
51252,29.96,38.66,5,400,12866,20782,937.582,2.07,2.15,14.25,2.222,0.05
965,27.096,56.92,20,400,13013,19925,939.754,0.14,0.15,0.97,0.151,0.003
28332,20.29,58.74,265,400,13150,19948,939.675,2.18,2.27,15.03,2.344,0.053
12710,20.614,52.84,1050,555,12835,19455,938.966,1.96,2.03,13.46,2.1,0.047
18237,19.192,53.7,1174,410,12912,19430,938.683,1.87,1.94,12.84,2.002,0.045
46311,26.81,48.08,1295,400,12963,19405,938.711,2.16,2.25,14.89,2.321,0.052
12353,19.254,53.05,1028,569,12819,19465,938.991,2.4,2.49,16.49,2.571,0.058
37971,26.9,47.5,981,518,12844,19487,938.914,2.0,2.08,13.77,2.147,0.048
4457,-4.894,48.46,54,400,13250,20158,939.681,2.57,2.66,17.65,2.753,0.062
52244,25.99,47.52,99,400,12787,20646,937.524,2.13,2.21,14.64,2.283,0.052
43973,26.96,47.85,1241,422,12909,19424,938.7,1.77,1.84,12.18,1.899,0.043
37627,25.33,48.41,1161,578,12821,19444,938.975,2.27,2.36,15.62,2.435,0.055
1410,26.358,56.06,20,400,13093,19982,939.679,0.93,0.97,6.4,0.999,0.023
51923,26.75,45.21,93,437,12774,20661,937.555,1.79,1.86,12.35,1.925,0.043
35142,22.75,56.67,935,719,12769,19500,939.088,2.32,2.41,15.96,2.489,0.056
56477,56.93,11.99,46031,413,12811,18579,936.714,3.48,3.89,23.3,4.058,0.344
34914,23.82,56.24,689,712,12774,19563,939.138,2.35,2.44,16.14,2.517,0.057
58146,-9.275,45.36,75,400,12782,20653,937.467,2.06,2.14,14.15,2.206,0.05
49144,27.01,46.73,1107,400,13034,19444,938.736,2.3,2.39,15.81,2.466,0.056
14174,16.865,47.79,1115,484,12853,19453,938.89,1.61,1.67,11.06,1.725,0.039
7729,-4.081,49.8,278,400,13126,19981,939.43,0.43,0.45,2.96,0.462,0.01
35469,25.72,49.73,875,655,12796,19514,939.117,2.13,2.21,14.64,2.283,0.052
36941,26.37,49.4,1084,589,12815,19449,939.056,2.27,2.36,15.6,2.433,0.055
13742,18.907,52.59,1069,474,12856,19464,938.886,1.87,1.94,12.86,2.006,0.045
22996,-21.863,48.38,1302,400,12977,19408,938.733,1.57,1.64,10.84,1.69,0.038
9553,-4.724,62.91,751,824,12726,19548,939.153,2.36,2.45,16.21,2.528,0.057
20296,13.412,48.57,1283,408,12938,19415,938.74,1.61,1.67,11.06,1.725,0.039
52530,26.18,46.78,88,400,12785,20632,937.422,1.75,1.81,12.02,1.875,0.042
40923,27.09,47.22,1115,408,12885,19451,938.755,1.76,1.83,12.14,1.894,0.043
27795,18.93,48.12,138,400,13160,20037,939.655,0.94,0.98,6.46,1.008,0.023
11307,9.746,48.0,979,629,12805,19488,939.077,1.89,1.97,13.02,2.03,0.046
46746,25.44,48.26,1375,434,12947,19373,938.723,2.07,2.15,14.27,2.226,0.05
20877,5.012,53.58,1341,419,12945,19389,938.721,2.22,2.31,15.31,2.388,0.054
21688,-8.308,47.55,1358,403,12961,19387,938.709,2.45,2.54,16.85,2.628,0.059
20322,13.088,52.64,1304,400,12950,19404,938.758,1.87,1.95,12.9,2.012,0.045
61177,20.449,28.23,3649,400,13085,19727,936.877,0.69,0.72,4.75,0.741,0.017
34322,21.54,60.47,605,536,12872,19656,939.246,2.55,2.65,17.55,2.737,0.062
31664,21.08,50.8,202,400,13157,20062,939.586,0.56,0.58,3.86,0.603,0.014
58817,-4.643,47.48,128,413,12782,20595,937.369,1.81,1.88,12.43,1.938,0.044
62572,8.022,15.94,827,400,13698,20477,936.685,0.52,0.54,3.56,0.555,0.013
55891,42.45,19.19,59,400,13559,21095,936.798,0.88,0.91,6.03,0.94,0.021
28660,21.8,56.23,314,400,13118,19897,939.69,1.32,1.37,9.08,1.416,0.032
23496,-20.713,51.25,1392,409,12968,19376,938.692,2.06,2.14,14.16,2.208,0.05
58491,-5.374,41.2,83,400,12792,20648,937.435,1.95,2.02,13.4,2.09,0.047
5549,-9.269,48.68,21,400,13260,20237,939.721,2.63,2.73,18.1,2.822,0.064
16511,12.867,48.55,1109,400,12891,19446,938.754,1.54,1.6,10.62,1.656,0.037
45828,26.77,48.03,1320,419,12957,19400,938.697,2.38,2.48,16.4,2.558,0.058
27179,19.33,51.23,0,400,13200,20138,939.608,0.85,0.89,5.87,0.916,0.021
28609,22.3,52.64,323,400,13107,19880,939.663,1.58,1.64,10.84,1.691,0.038
20544,10.093,46.95,1120,400,12988,19452,938.75,2.17,2.26,14.96,2.333,0.053
23435,-21.115,50.77,1408,415,12967,19376,938.688,1.97,2.05,13.58,2.118,0.048
52398,26.91,43.51,78,408,12778,20654,937.479,2.21,2.29,15.18,2.368,0.053
8251,-4.449,55.82,321,400,13102,19945,939.422,0.28,0.29,1.91,0.298,0.007
20120,15.439,48.1,1161,400,12937,19434,938.727,1.58,1.64,10.86,1.694,0.038
36685,24.3,53.26,1071,620,12805,19464,939.062,1.85,1.93,12.76,1.99,0.045
14361,15.932,47.23,1140,479,12854,19439,938.907,1.98,2.05,13.6,2.121,0.048
37994,24.87,51.64,1109,548,12833,19456,938.917,1.96,2.03,13.48,2.102,0.047
26077,14.87,57.27,0,400,13061,19957,939.788,0.23,0.24,1.57,0.245,0.006
30516,21.28,54.2,0,400,13283,20263,939.731,2.49,2.59,17.16,2.676,0.06
25011,13.36,50.66,0,400,12477,19400,939.764,0.53,2.23,0.0,2.58,1.642
38519,27.11,47.04,1117,513,12846,19451,938.856,2.03,2.11,13.98,2.179,0.049
21039,2.376,52.01,1339,422,12945,19384,938.699,2.08,2.16,14.34,2.236,0.05
62520,-0.482,15.51,1327,400,13669,20338,936.662,0.65,0.68,4.48,0.699,0.016
23002,-21.876,48.01,1300,400,12976,19407,938.729,1.63,1.69,11.2,1.747,0.039
25249,12.66,49.31,33,400,12616,19686,939.811,0.09,0.17,0.48,0.187,0.071
15157,12.746,50.94,1147,456,12865,19447,938.826,1.52,1.58,10.46,1.632,0.037
41546,24.55,53.39,1132,400,12885,19444,938.776,1.67,1.73,11.49,1.792,0.04
14081,17.327,51.94,1136,490,12851,19449,938.896,1.85,1.92,12.73,1.984,0.045
44204,26.67,48.89,1224,400,12920,19428,938.68,1.86,1.93,12.8,1.997,0.045
38063,24.59,52.84,1092,545,12839,19456,938.902,2.15,2.23,14.8,2.308,0.052
26773,18.64,49.5,36,400,13129,20022,939.618,0.73,0.76,5.06,0.788,0.018
40944,24.58,53.21,1159,411,12876,19436,938.779,1.76,1.83,12.13,1.892,0.043
8171,-4.355,50.15,308,400,13115,19950,939.412,0.21,0.22,1.46,0.228,0.005
21704,-8.56,53.05,1364,407,12953,19391,938.717,2.32,2.41,15.98,2.492,0.056
55231,31.43,56.34,3375,400,13232,19768,936.931,0.51,0.53,3.53,0.55,0.012
28271,20.23,59.72,202,400,13179,20011,939.692,2.23,2.31,15.33,2.39,0.054
18126,18.774,50.09,1184,400,12908,19433,938.711,2.03,2.11,13.98,2.18,0.049
51460,26.63,45.97,47,400,12833,20728,937.557,2.08,2.16,14.33,2.235,0.05
34026,18.47,57.07,366,400,13048,19886,939.261,0.49,0.51,3.35,0.522,0.012
46129,26.78,48.19,1302,400,12957,19398,938.686,2.15,2.23,14.77,2.302,0.052
30392,19.6,55.01,19,400,13252,20216,939.733,2.36,2.46,16.27,2.538,0.057
23922,-15.576,53.03,1419,416,12972,19380,938.725,1.57,1.63,10.8,1.684,0.038
52263,29.0,41.07,98,400,12782,20639,937.487,1.77,1.84,12.21,1.905,0.043
9798,-3.917,58.91,668,822,12721,19592,939.13,2.6,2.71,17.92,2.795,0.063
56908,21.332,44.9,9,426,12868,20772,937.603,1.93,2.01,13.3,2.074,0.047
16408,12.649,47.23,1134,400,12887,19444,938.759,2.13,2.21,14.67,2.288,0.052
5604,-9.244,48.96,54,400,13241,20200,939.725,2.52,2.62,17.37,2.709,0.061
57213,26.305,42.46,39,400,12837,20728,937.553,1.98,2.06,13.63,2.126,0.048
47236,24.66,52.86,1387,408,12954,19381,938.69,2.0,2.07,13.74,2.142,0.048
34444,22.33,58.29,634,536,12872,19627,939.195,2.72,2.83,18.74,2.923,0.066
17609,16.608,47.3,1149,413,12905,19445,938.747,1.79,1.86,12.33,1.922,0.043
33499,20.87,50.74,334,400,13102,19940,939.33,0.25,0.26,1.75,0.273,0.006
42087,24.54,53.49,1157,400,12893,19436,938.793,2.07,2.15,14.27,2.226,0.05
11821,15.141,53.59,998,588,12825,19479,939.083,2.08,2.16,14.28,2.227,0.05
43838,26.32,51.45,1157,400,12932,19444,938.709,1.54,1.6,10.57,1.648,0.037
31938,18.76,55.37,236,400,13138,20038,939.608,0.69,0.72,4.77,0.744,0.017
5994,-8.613,55.54,136,400,13198,20136,939.661,1.71,1.78,11.8,1.84,0.042
49579,24.54,53.37,1308,408,12991,19398,938.802,1.66,1.73,11.46,1.786,0.04
35968,24.37,52.17,1028,661,12788,19463,939.079,2.17,2.25,14.92,2.326,0.053
36585,26.47,48.5,1036,606,12815,19470,939.056,1.91,1.98,13.15,2.051,0.046
26948,18.99,49.42,51,400,13128,20011,939.579,0.6,0.62,4.13,0.644,0.015
2098,21.676,50.64,24,400,13135,20035,939.628,0.83,0.86,5.68,0.886,0.02
10958,5.841,48.19,1069,662,12798,19473,939.077,2.11,2.19,14.52,2.264,0.051
9801,-3.904,56.39,672,849,12706,19591,939.128,2.62,2.72,18.03,2.812,0.064
36151,24.3,52.78,1105,655,12789,19453,939.089,2.39,2.49,16.48,2.57,0.058
17247,15.141,47.34,1157,400,12898,19439,938.819,1.48,1.54,10.19,1.589,0.036
18778,20.625,53.79,1212,412,12914,19422,938.711,1.86,1.93,12.8,1.996,0.045
33589,19.53,57.47,325,400,13103,19940,939.316,0.54,0.56,3.7,0.577,0.013
1309,26.707,50.36,0,400,13093,19984,939.713,0.49,0.51,3.36,0.524,0.012
8045,-4.226,51.29,303,400,13119,19964,939.392,0.23,0.24,1.58,0.246,0.006
60819,14.658,60.43,494,400,12991,20647,937.09,1.31,1.36,9.04,1.409,0.032
13352,20.286,47.53,1216,552,12827,19426,938.893,2.14,2.22,14.7,2.292,0.052
48383,24.51,53.7,1362,400,12974,19396,938.712,1.73,1.8,11.9,1.855,0.042
48426,25.43,48.42,1434,422,12966,19373,938.7,2.01,2.08,13.8,2.153,0.049
62350,-17.78,12.88,3317,400,13448,19827,936.689,0.74,0.77,5.08,0.792,0.018
23819,-17.212,54.27,1375,400,12974,19383,938.685,1.57,1.63,10.83,1.689,0.038
53484,26.18,46.73,133,408,12785,20587,937.305,1.76,1.83,12.14,1.893,0.043
39431,25.06,50.9,1134,475,12860,19441,938.92,1.86,1.93,12.81,1.998,0.045
16311,12.469,53.25,1157,415,12881,19436,938.75,1.5,1.56,10.33,1.611,0.036
21479,-4.934,53.96,1377,417,12953,19390,938.722,1.88,1.95,12.91,2.013,0.045
15400,12.267,51.87,1141,430,12875,19444,938.81,1.95,2.03,13.42,2.093,0.047
36278,24.13,53.71,986,622,12811,19485,939.078,2.3,2.39,15.82,2.467,0.056
21484,-5.016,51.55,1268,400,12964,19409,938.72,1.83,1.9,12.59,1.964,0.044
51171,29.42,40.3,18,420,12868,20775,937.609,1.96,2.04,13.5,2.106,0.048
46425,26.67,48.76,1316,400,12961,19398,938.7,1.61,1.68,11.11,1.733,0.039
4264,-3.16,53.45,92,400,13243,20126,939.67,2.16,2.24,14.85,2.315,0.052
41868,26.83,48.17,1122,400,12895,19451,938.741,1.9,1.97,13.06,2.037,0.046
32611,20.99,49.85,273,400,13129,19993,939.483,0.34,0.36,2.37,0.37,0.008
21420,-3.96,53.97,1333,406,12955,19392,938.709,1.74,1.81,12.01,1.873,0.042
8617,-4.912,50.64,336,400,13095,19930,939.325,0.36,0.38,2.5,0.389,0.009
61797,-3.167,27.88,60000,5843,11573,16963,936.851,2123.01,2205.73,14611.82,2278.539,51.465
48099,26.29,51.09,1302,400,12981,19412,938.724,1.94,2.02,13.37,2.085,0.047
22273,-16.514,48.66,1356,408,12962,19391,938.708,2.01,2.08,13.81,2.154,0.049
61709,3.193,32.65,4126,400,13249,19746,936.876,0.69,0.71,4.73,0.738,0.017
55824,47.28,16.03,403,400,13444,20755,936.836,0.83,0.87,5.75,0.896,0.02
12681,20.55,47.25,1046,548,12835,19474,938.972,1.89,1.96,13.01,2.028,0.046
56173,51.97,22.66,60000,15946,11087,16141,936.847,9548.56,13802.96,55964.39,14891.27,4000.023
61068,19.055,36.98,8291,400,12947,19433,936.886,0.42,0.44,2.9,0.452,0.01
13609,19.446,52.79,1130,517,12850,19453,938.881,1.74,1.8,11.95,1.863,0.042
38439,26.44,50.19,1118,516,12841,19447,938.873,1.79,1.86,12.35,1.925,0.043
54291,28.24,44.48,183,421,12771,20539,937.329,1.69,1.76,11.63,1.813,0.041
43263,27.14,47.35,1161,400,12913,19435,938.693,1.49,1.55,10.24,1.597,0.036
2868,13.222,50.83,132,400,13162,20039,939.64,0.79,0.82,5.41,0.843,0.019
61105,19.618,38.81,9513,400,12895,19358,936.849,0.55,0.57,3.79,0.592,0.013
17746,17.195,53.0,1136,401,12904,19440,938.706,1.59,1.65,10.96,1.709,0.039
20795,6.313,50.05,1318,415,12946,19388,938.691,2.24,2.33,15.44,2.408,0.054
23272,-21.816,53.84,1387,401,12971,19379,938.711,1.98,2.06,13.66,2.13,0.048
21006,2.918,50.17,1312,408,12952,19402,938.675,1.95,2.03,13.44,2.095,0.047
21394,-3.529,49.85,1346,414,12943,19386,938.711,1.72,1.79,11.83,1.845,0.042
28686,22.73,49.24,276,400,13133,19946,939.665,1.55,1.61,10.66,1.662,0.038
28636,20.51,55.32,355,400,13097,19868,939.693,1.34,1.39,9.24,1.44,0.033
55362,39.26,38.84,9344,400,12905,19368,936.847,0.53,0.55,3.61,0.564,0.013
6756,-6.132,53.29,219,400,13139,20041,939.609,0.94,0.98,6.49,1.012,0.023
22514,-19.038,48.51,1314,400,12971,19403,938.748,2.0,2.08,13.79,2.151,0.049
61294,20.687,25.39,13756,541,12744,19087,936.887,0.79,0.82,5.45,0.851,0.019
57127,27.122,44.15,53,417,12836,20719,937.571,2.16,2.24,14.87,2.319,0.052
10684,2.892,54.39,914,655,12798,19503,939.105,2.59,2.69,17.85,2.783,0.063
51162,26.92,44.83,15,431,12861,20767,937.599,1.96,2.03,13.48,2.102,0.047
16497,12.836,53.6,1187,410,12882,19435,938.751,1.85,1.93,12.76,1.989,0.045
45387,24.45,53.43,1295,400,12945,19404,938.765,2.04,2.12,14.03,2.187,0.049
54556,26.78,40.81,0,400,13054,20856,937.46,2.18,2.27,15.01,2.341,0.053
23336,-21.604,54.14,1373,407,12969,19388,938.702,1.74,1.81,12.0,1.871,0.042
5169,-8.876,50.82,26,400,13246,20190,939.698,2.46,2.55,16.91,2.637,0.06
46986,25.45,48.27,1429,424,12952,19372,938.724,1.95,2.03,13.43,2.094,0.047
5426,-9.256,48.43,9,400,13265,20228,939.712,2.57,2.67,17.71,2.761,0.062
44778,24.71,52.94,1195,400,12927,19427,938.708,1.78,1.85,12.27,1.913,0.043
28301,21.35,62.3,203,400,13189,20009,939.708,2.32,2.41,15.95,2.487,0.056
62537,2.118,16.07,1048,400,13686,20403,936.697,0.67,0.69,4.58,0.714,0.016
13618,19.412,53.31,1130,515,12844,19451,938.866,1.72,1.79,11.87,1.851,0.042
32554,20.88,50.21,273,400,13127,19995,939.459,0.36,0.37,2.45,0.382,0.009
24720,7.004,54.34,1327,413,12989,19395,938.829,1.86,1.93,12.81,1.998,0.045
5866,-8.897,55.2,25,400,13254,20252,939.665,2.56,2.66,17.61,2.746,0.062
53730,25.98,48.07,165,429,12764,20546,937.329,1.57,1.63,10.81,1.686,0.038
21862,-10.983,47.94,1285,400,12968,19407,938.734,2.03,2.11,13.97,2.178,0.049
21011,2.836,48.69,1366,413,12947,19382,938.694,1.84,1.91,12.65,1.973,0.045
42802,24.64,53.16,1099,400,12909,19451,938.713,2.09,2.17,14.39,2.244,0.051
7340,-4.46,51.55,274,400,13119,19991,939.5,0.39,0.41,2.69,0.42,0.009
9282,-5.161,59.34,578,563,12860,19674,939.214,2.56,2.66,17.59,2.743,0.062
